0.0000e+00 -3.5924e-01
1.0000e-02 -3.4778e-01
2.0000e-02 -3.1417e-01
3.0000e-02 -2.6063e-01
4.0000e-02 -1.9061e-01
5.0000e-02 -1.0847e-01
6.0000e-02 -1.9057e-02
7.0000e-02 7.2717e-02
8.0000e-02 1.6222e-01
9.0000e-02 2.4543e-01
1.0000e-01 3.1912e-01
1.1000e-01 3.8101e-01
1.2000e-01 4.2972e-01
1.3000e-01 4.6477e-01
1.4000e-01 4.8645e-01
1.5000e-01 4.9563e-01
1.6000e-01 4.9367e-01
1.7000e-01 4.8219e-01
1.8000e-01 4.6296e-01
1.9000e-01 4.3777e-01
2.0000e-01 4.0835e-01
2.1000e-01 3.7624e-01
2.2000e-01 3.4283e-01
2.3000e-01 3.0926e-01
2.4000e-01 2.7645e-01
2.5000e-01 2.4510e-01
2.6000e-01 2.1572e-01
2.7000e-01 1.8864e-01
2.8000e-01 1.6401e-01
2.9000e-01 1.4191e-01
3.0000e-01 1.2229e-01
3.1000e-01 1.0504e-01
3.2000e-01 9.0009e-02
3.3000e-01 7.7002e-02
3.4000e-01 6.5822e-02
3.5000e-01 5.6264e-02
3.6000e-01 4.8130e-02
3.7000e-01 4.1232e-02
3.8000e-01 3.5398e-02
3.9000e-01 3.0473e-02
4.0000e-01 2.6317e-02
4.1000e-01 2.2812e-02
4.2000e-01 1.9852e-02
4.3000e-01 1.7349e-02
4.4000e-01 1.5227e-02
4.5000e-01 1.3423e-02
4.6000e-01 1.1885e-02
4.7000e-01 1.0567e-02
4.8000e-01 9.4349e-03
4.9000e-01 8.4571e-03
5.0000e-01 7.6091e-03
5.1000e-01 6.8704e-03
5.2000e-01 6.2242e-03
5.3000e-01 5.6563e-03
5.4000e-01 5.1553e-03
5.5000e-01 4.7114e-03
5.6000e-01 4.3168e-03
5.7000e-01 3.9647e-03
5.8000e-01 3.6494e-03
5.9000e-01 3.3662e-03
6.0000e-01 3.1112e-03
6.1000e-01 2.8808e-03
6.2000e-01 2.6721e-03
6.3000e-01 2.4827e-03
6.4000e-01 2.3103e-03
6.5000e-01 2.1531e-03
6.6000e-01 2.0095e-03
6.7000e-01 1.8780e-03
6.8000e-01 1.7573e-03
6.9000e-01 1.6465e-03
7.0000e-01 1.5445e-03
7.1000e-01 1.4504e-03
7.2000e-01 1.3636e-03
7.3000e-01 1.2833e-03
7.4000e-01 1.2089e-03
7.5000e-01 1.1400e-03
7.6000e-01 1.0760e-03
7.7000e-01 1.0165e-03
7.8000e-01 9.6118e-04
7.9000e-01 9.0961e-04
8.0000e-01 8.6152e-04
8.1000e-01 8.1661e-04
8.2000e-01 7.7464e-04
8.3000e-01 7.3537e-04
8.4000e-01 6.9859e-04
8.5000e-01 6.6412e-04
8.6000e-01 6.3178e-04
8.7000e-01 6.0141e-04
8.8000e-01 5.7287e-04
8.9000e-01 5.4602e-04
9.0000e-01 5.2075e-04
9.1000e-01 4.9694e-04
9.2000e-01 4.7449e-04
9.3000e-01 4.5331e-04
9.4000e-01 4.3331e-04
9.5000e-01 4.1441e-04
9.6000e-01 3.9655e-04
9.7000e-01 3.7964e-04
9.8000e-01 3.6364e-04
9.9000e-01 3.4848e-04
1.0000e+00 3.3411e-04
